key,value,translation,description,,
barrier,debris,,"Завал из мусора, преграждающий обычно заброшенную дорогу. На фото продолжение дороги за завалом не видно, потому что дорога уходит вниз по склону.",,
barrier,entrance,,"Простой проход в стене или заборе, не имеющий каких либо особенностей, ограничивающих движение",,
barrier,full-height_turnstile,,"Турникет-крестовина в полный рост. Выполняет те же функции, что и другие турникеты. При тегировании обратите внимание на чередование дефиса и нижнего подчёркивания.",,
barrier,gate,,"Ворота. Проезд в стене или заборе, который может открываться и закрываться одной или двумя створками. В случае необходимости используйте access=*.",,
barrier,hampshire_gate,,"Так называемые ""хэмпширские ворота"". Секция проволочного забора, которую можно временно убирать. В случае необходимости используйте access=*.",,
barrier,height_restrictor,,В случае необходимости используйте maxheight=*,,
barrier,horse_stile,,"Специальный барьер, который могут преодолевать пешеходы и лошади. Пересечение его на транспорте, либо лошадью без наездника и прочим домашним скотом затруднено или невозможно.",,
barrier,jersey_barrier,,"Барьерное ограждение, состоящее из массивных промышленных блоков. Нередко используется для разделения полос на автострадах. Используйте теги material=plastic или material=concrete для описания материала, из которого сделаны блоки.",,
barrier,kent_carriage_gap,,"Кентский проезд для карет используется муниципалитетами Великобритании для запрета проезда автотранспорта на дорогах, предназначенных преимущественно для поездок в конном экипаже.",,
barrier,kissing_gate,,"Ворота особой конструкции, позволяющие легко проходить людям, но непреодолимые для скота. Не следует использовать для обозначения обычных ворот и калиток, через которые по каким-либо иным причинам можно пройти только пешком.",,
barrier,lift_gate,,Шлагбаум. В случае необходимости используйте access=*,,
barrier,log,,"Используйте этот тег, если дорога перекрыта брёвнами. Такое препятствие создаёт затруднения для велосипедистов, но может быть преодолено, если в вручную перенести велосипед через брёвна. Также бревенчатое препятствие обычно удобно использовать, чтобы присесть.",,
barrier,motorcycle_barrier,,"Конструкции, не позволяющие проехать на мотоцикле.",,
barrier,rope,,"Верёвка. Гибкая преграда, сделанная из нитей, сплетённых или свитых вместе ради улучшения прочности. В качестве препятствия играет символическую роль, и вряд ли способно действительно помешать пешеходу пройти.",,
barrier,sally_port,,"Тамбур. Проход сквозь толстые стены, обычно имеющий две пары ворот.",,
barrier,spikes,,"Настил из шипов, препятствующий проезду транспорта на шинах. Может быть убираемым.",,
barrier,stile,,"Лаз, порог, дыра. Вид прохода с препятствием, позволяющий проходить сквозь него, но который нельзя полностью «открыть»",,
barrier,sump_buster,,"Sump buster — это бетонный блок или стальная конструкция, предотвращающая проезд транспортных средств с шириной колеи или дорожным просветом, превышающими определённые значения. (Обычно оставнавливает обычные автомобили.)",,
barrier,swing_gate,,"Шлагбаум с горизонтально вращаемой стрелой. Сделан обычно из металла, но существуют также деревянные и иные вариации. Предназначен для ограничения проезда автомобилей, однако обычно легко преодолевается велосипедистами и пешеходами.",,
barrier,toll_booth,,Пункт въезда на платную дорогу,,
barrier,turnstile,,Турникет используется для прохода только одного человека в один момент времени.,,
barrier,yes,,"Преграда, тип которой неизвестен (обычно используется только при обрисовке спутниковых снимков)",,
barrier,пользовательское,,Все часто используемые значения согласно TagInfo,,
building,apartments,,Многоквартирный жилой дом. Иногда есть магазин на первом этаже.,,
building,farm,,Здание на ферме предназначенное для жилья.,,
building,hotel,,Здание гостиницы,,
building,house,,"Индивидуальный жилой дом для проживания одной, реже двух, семей. Это общий тег. Более точными являются building=detached и building=terrace",,
building,detached,,Частный жилой дом. Аналогичен тегу building=house,,
building,residential,,"Общий тег для жилых зданий. Если тип известен, то его можно прямо указать заменив на house, apartments, detached, terrace или hut",,
building,dormitory,,Общежитие,,
building,terrace,,Тип частных зданий построенных в линию вплотную друг к другу. Предлагается рисовать отдельными зданиями с тегом building=house,,
building,houseboat,,"Лодка, используемая в основном в качестве жилища",,
building,static_caravan,,A mobile home (semi)permanently left on a single site,,
building,commercial,,"Места деловой активности. Используется, если нельзя определить принадлежность к одному конкретному виду (например что это только офисное здание, или только торговый центр); возможно дополнение с тегомoffice=*",,
building,industrial,,Промышленное здание. Территорию предлагается отмечать тегом landuse=industrial с уточнением industrial=*,,
building,retail,,"Здание, используемое в основном для розничной торговли. Используется обязательно с уточняющим тегом shop=*",,
building,warehouse,,Складские помещения,,
building,cathedral,,"Cобор (совместно с amenity=place_of_worship, religion=* и denomination=*)",,
building,chapel,,"Часовня (совместно с amenity=place_of_worship, religion=* и denomination=*)",,
building,church,,"Храм, собор (совместно с amenity=place_of_worship, religion=* и denomination=*)",,
building,civic,,"Общий тег, означающий гражданское использование здания: библиотека, публичный туалет, бассейн и т.д. Используйте для уточнения  amenity=* и leisure=*",,
building,hospital,,"Здание, корпус больницы. Территорию отмечают amenity=hospital",,
building,mosque,,"A mosque. Used in conjunction with amenity=place_of_worship, religion=* and denomination=*.",,
building,school,,Здание школы на территории amenity=school,,
building,train_station,,Вокзал (здание при железнодорожной станции). (Неоднозначность: Mapnik отображает building=station),,
building,transportation,,Грузоперевозки,,
building,university,,Здание ВУЗа. Обычно вместе с тегом amenity=university на территории или самом здании.,,
building,public,,Общественное здание,,
building,barn,,Сельскохозяйственная постройка используемая для хранения снопов и сена.,,
building,bridge,,Здание используется в качестве моста. Может также представлять сторожки разводных мостов. См. также bridge=yes и highway=*.,,
building,bunker,,"Бункер, военный объект (совместно с military=bunker)",,
building,cabin,,"Кабинка (будка) представляет собой небольшой, просто построенный дом обычно окруженный деревьями и обычно находящийся в сельской местности.",,
building,construction,,Используется для строящихся зданий. Используйте construction=* для хранения значения завершенных зданий.bridge=yes и highway=*.,,
building,cowshed,,"Коровник (хлев) — строение для содержания коров, обычно на фермах.",,
building,farm_auxiliary,,Нежилые здания фермы,,
building,garage,,Отдельностоящий гараж (один полигон отмечает один гараж). ГСК или любое другое скопление гаражей можно отметить building=garages,,
building,garages,,"Гаражи, ГСК и т.п. Для отдельных гаражей применяйте тег building=garage",,
building,greenhouse,,Теплица. Укажите территорию тепличного хозяйства тегом landuse=greenhouse_horticulture,,
building,hangar,,"Ангар - это здание, используемое для содержания в нём самолётов, вертолётов и других летательных аппаратов. При необходимости добавляйте aeroway=hangar.",,
building,hut,,"Хибара, хижина, любое небольшое простое жильё",,
building,roof,,Сооружение в виде крыши или навеса (например на АЗС),,
building,shed,,"Сарай является простым одноэтажным строением на заднем дворе, в саду или на приусадебном (дачном) участке, которое используются для хранения инвентаря или в качестве мастерской.",,
building,stable,,Конюшня. Помещение для содержания лошадей.,,
building,sty,,"Свинарник. Помещение для содержания свиней, обычно на фермах.",,
building,transformer_tower,,A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly  to a medium voltage overhead power line. Quite often the power line has since been undergrounded but the building may still serve as a substation. If the building is still in use as a substation it should additionally be tagged as power=substation + substation=minor_distribution.,,
building,yes,,Используйте такой тег если предпочитаете отмечать тип здания тегом building:type=* или не уверены какой конкретно применить тег.,,
building,Задаётся пользователем,,Все часто используемые значения согласно TagInfo,,
entrance,yes / main / exit / service / emergency,,Вход в здание.,,
height,number,,Высота в метрах,,
building:levels,number,,Предложенный тег для указания этажности,,
building:fireproof,yes/no,,Информация об огнестойкости при пожаре.,,
cycleway,lane,,Полоса для движения велосипедов на дороге общего пользования,,
cycleway,opposite,,Разрешено только движение в обратном направлении,,
cycleway,opposite_lane,,Полоса для движения велосипедов на дороге общего пользования в обратном направлении,,
cycleway,track,,Отдельная дорожка,,
cycleway,opposite_track,,Отдельная дорожка в обратном направлении,,
cycleway,shared,,Cyclists share space with other traffic on this highway.,,
